Date,Close,Indicator
7/4/20,198,0
8/4/20,195.979996,
9/4/20,196.369995,
13/4/20,199.440002,
14/4/20,204.779999,
15/4/20,208.169998,
16/4/20,212.660004,
17/4/20,209.5,1
20/4/20,212.130005,
21/4/20,207.339996,
22/4/20,209.960007,
23/4/20,205.240005,
24/4/20,204.360001,
27/4/20,203.690002,
28/4/20,201.149994,
29/4/20,206.699997,
30/4/20,202.669998,
1/5/20,194.479996,0
4/5/20,191.149994,
5/5/20,195.020004,
6/5/20,195.169998,
7/5/20,196.490005,
8/5/20,201.190002,1
11/5/20,205.399994,
12/5/20,200.309998,
13/5/20,199.460007,0
14/5/20,201.300003,
15/5/20,203.679993,
18/5/20,215.279999,1
19/5/20,217.199997,
20/5/20,216.789993,
21/5/20,212.160004,
22/5/20,199.699997,
26/5/20,201.720001,
27/5/20,201.179993,0
28/5/20,199.490005,
29/5/20,207.389999,
1/6/20,206.570007,
2/6/20,214.330002,
3/6/20,218.610001,
4/6/20,218.039993,
5/6/20,219.550003,
8/6/20,219,
9/6/20,220.720001,1
10/6/20,223.679993,0
11/6/20,215.240005,
12/6/20,217.639999,
15/6/20,217.029999,
16/6/20,222.619995,
17/6/20,224.25,
18/6/20,223.539993,
19/6/20,220.639999,
22/6/20,221.410004,1
23/6/20,228.75,
24/6/20,226.220001,
25/6/20,222.160004,
26/6/20,215.710007,0
29/6/20,215.020004,
30/6/20,215.699997,
1/7/20,215.949997,
2/7/20,223.600006,1
6/7/20,240,0
7/7/20,236.509995,
8/7/20,257.679993,
9/7/20,261.579987,1
10/7/20,261.01001,
13/7/20,251.669998,
14/7/20,248.580002,
15/7/20,249.210007,0
16/7/20,242.5,
17/7/20,247.139999,
20/7/20,254.809998,
21/7/20,257.899994,
22/7/20,251.699997,
23/7/20,251.880005,
24/7/20,249,
27/7/20,250.860001,
28/7/20,249.050003,
29/7/20,252.449997,
30/7/20,252.740005,
31/7/20,251.020004,
3/8/20,257.940002,1
4/8/20,262.200012,
5/8/20,264.910004,
6/8/20,265.679993,
7/8/20,252.100006,
10/8/20,248.130005,
11/8/20,248.419998,
12/8/20,255.190002,0
13/8/20,253.720001,
14/8/20,253.970001,
17/8/20,256.959991,
18/8/20,259.200012,
19/8/20,260.589996,
20/8/20,257.970001,
21/8/20,265.799988,
24/8/20,276.019989,
25/8/20,286,1
26/8/20,291.959991,
27/8/20,284.170013,
28/8/20,289,
31/8/20,287.029999,
1/9/20,298,
2/9/20,296.070007,
3/9/20,282.5,
4/9/20,281.390015,
8/9/20,270.019989,0
9/9/20,273.149994,
10/9/20,267.549988,
11/9/20,271.609985,
14/9/20,274.100006,
15/9/20,277.959991,1
16/9/20,278.140015,
17/9/20,275.720001,
18/9/20,272.410004,
21/9/20,273.820007,
22/9/20,275.290009,
23/9/20,272.950012,
24/9/20,269.730011,
25/9/20,271.089996,0
28/9/20,276.01001,
29/9/20,276.929993,
30/9/20,293.980011,
1/10/20,290.049988,1
2/10/20,288.170013,
5/10/20,288.269989,
6/10/20,292.390015,
7/10/20,296.5,
8/10/20,300.540009,
9/10/20,299.73999,
12/10/20,306.339996,
13/10/20,308.779999,
14/10/20,301.040009,
15/10/20,299.459991,0
16/10/20,307.309998,
19/10/20,305.290009,
20/10/20,309.809998,
21/10/20,307.970001,
22/10/20,306.279999,
23/10/20,309.920013,
26/10/20,306.869995,
27/10/20,317.140015,1
28/10/20,307.940002,
29/10/20,312.559998,
30/10/20,304.690002,
2/11/20,310.839996,
3/11/20,285.570007,
4/11/20,295.709991,
5/11/20,287.75,
6/11/20,299.950012,0
9/11/20,290.529999,
10/11/20,266.540009,
11/11/20,265.649994,
12/11/20,264.309998,1
13/11/20,260.839996,
16/11/20,258.309998,
17/11/20,256.799988,
18/11/20,255.830002,0
19/11/20,259.890015,
20/11/20,270.73999,
23/11/20,270.109985,
24/11/20,279.959991,
25/11/20,277.720001,
27/11/20,276.480011,
30/11/20,263.359985,
1/12/20,264.01001,
2/12/20,261.320007,
3/12/20,266.910004,
4/12/20,267.25,
7/12/20,264,
8/12/20,266.089996,
9/12/20,263.799988,
10/12/20,264.869995,1
11/12/20,264.540009,
14/12/20,256.029999,
15/12/20,255.110001,
16/12/20,261.890015,
17/12/20,264.429993,
18/12/20,260,
21/12/20,260.429993,
22/12/20,255.830002,0
23/12/20,256.179993,
24/12/20,222,
28/12/20,222.360001,
29/12/20,236.259995,
30/12/20,238.389999,
31/12/20,232.729996,
4/1/21,227.850006,
5/1/21,240.399994,
6/1/21,227.610001,
7/1/21,226.899994,
8/1/21,236.190002,
11/1/21,227.369995,
12/1/21,225.600006,
13/1/21,235.300003,
14/1/21,242.979996,
15/1/21,243.460007,
19/1/21,251.649994,1
20/1/21,265.48999,
21/1/21,260,
22/1/21,258.619995,
25/1/21,261.380005,
26/1/21,265.920013,
27/1/21,260.25,
28/1/21,260.76001,
29/1/21,253.830002,
1/2/21,264.690002,
2/2/21,254.5,
3/2/21,263.429993,
4/2/21,266.959991,
5/2/21,265.670013,
8/2/21,262.589996,
9/2/21,266.48999,
10/2/21,267.790009,
11/2/21,268.929993,
12/2/21,267.850006,
16/2/21,270.700012,
17/2/21,270.829987,
18/2/21,264.51001,
19/2/21,263.589996,0
22/2/21,254,
23/2/21,252.75,
24/2/21,250.339996,
25/2/21,240.179993,
26/2/21,237.759995,
1/3/21,241.690002,
2/3/21,234.419998,
3/3/21,236.270004,1
4/3/21,230.5,
5/3/21,233.889999,
8/3/21,226.690002,
9/3/21,238.139999,
10/3/21,234.300003,
11/3/21,240.800003,
12/3/21,231.869995,
15/3/21,230.279999,
16/3/21,226.929993,
17/3/21,233.339996,
18/3/21,236.429993,
19/3/21,239.789993,
22/3/21,237.119995,
23/3/21,237.669998,
24/3/21,229.589996,
25/3/21,222.720001,
26/3/21,227.259995,
29/3/21,231.860001,
30/3/21,229.25,
31/3/21,226.729996,
1/4/21,224.360001,
5/4/21,225.300003,
6/4/21,230.570007,
